work_title,sentence,sentence_length
நெஞ்சக்கனல்,﻿ நெஞ்சக்கனல் நா.,3
நெஞ்சக்கனல்,﻿பதிப்புரை... ஆறாதே நாவினாற் சுட்ட வடு என்று வள்ளுவப் பேராசான் வற்புறுத்துகிறார்.,9
நெஞ்சக்கனல்,குற்ற உணர்வு நெஞ்சில் கனலாக எரிந்து கொண்டிருப்பதால்தான் அந்த வடு ஆறாத புண்ணாக நிலைத்துவிடுகிறது.,11
நெஞ்சக்கனல்,மனச்சாட்சியின் குரலுக்குச் செவி சாய்ப்பவர்களுக்கெல்லாம் நெஞ்சக் கனல் தோன்றுவது இயற்கை.,8
நெஞ்சக்கனல்,அக்கனல் மனிதனை எரித்து விடுவதில்லை.,4
நெஞ்சக்கனல்,அவனுள்–அவனது பலவீனமாகக் கிளர்ந்தெழும் தீய உணர்ச்சிகளையே எரித்துச் சாம்பலாக்குகிறது.,7
நெஞ்சக்கனல்,வேள்வித் தீக்குச் சமானமான இந்த நெஞ்சக்கனல் அவிந்துவிடாமல் காப்பாற்றிக் கொள்ளும் எந்த மனிதனும் முழு மனிதனாக உயர முடியும்.,14
நெஞ்சக்கனல்,அவ்வாறு உயர்ந்த ஒரு மனிதர் இக்கதையில் வருகிறார்.,6
நெஞ்சக்கனல்,இனிய காதல் கதைகளைவிட இம்மாதிரிப் பிரச்னைகளை வைத்துக் கதை பின்னுவது கொஞ்சம் சிரமமான காரியமே.,11
நெஞ்சக்கனல்,அந்தச் சிரமமான காரியத்தைத் திறம்படவும் அழகாகவும்.. செய்து முடித்திருக்கிறார் ஆசிரியர் நா.,9
நெஞ்சக்கனல்,அவருக்கு எங்கள் மனப்பூர்வமான நன்றி உரித்தாகுக.,5
நெஞ்சக்கனல்,இதற்கான சூழ்நிலையும் திறக்கிறது.,3
நெஞ்சக்கனல்,இந்த நாவலிலோ சந்தர்ப்பவசத்தால் அரசியல்வாதியாக நேரிடும் பெரிய குடும்பத்து மனிதர் ஒருவரைப் படைக்கிறேன்.,10
நெஞ்சக்கனல்,"ஆப்ஸர்வேஷன் எழுத்தாளனின் குணமாகுமா, குற்றமாகுமா?",4
நெஞ்சக்கனல்,என்று உங்களைக் கேட்டால் நீங்கள் எப்படி முடிவு கூறுவீர்களோ ﻿ அப்படியே இது நியாயமுமாகலாம் நியாயமாகாமலும் இருக்கலாம்.,13
நெஞ்சக்கனல்,இதை இந்தச் சமயத்தில் எழுதுவதற்குச் சிறப்பான காரணம் எதுவும் இல்லை.,8
நெஞ்சக்கனல்,எந்தச் சமயத்தில் எழுதினாலும் ஏதாவது ஒரு காரணம் இருக்குமே அதுதான் இந்தச் சமயத்திலும் காரணமாக இருக்கிறது சிறப்பாகவும் இருக்கிறது.,14
நெஞ்சக்கனல்,ஏதோ ஒன்றைச் சொல்ல மறந்துவிட்டேனே !,4
நெஞ்சக்கனல்,இப்போது நினைவு வருகிறது.,3
