work_title,sentence,sentence_length
இந்தியப்_பெருங்கடல்,இந்தியப் பெருங்கடல் பேரா.,3
இந்தியப்_பெருங்கடல்,﻿ கடல் நூல் வரிசை நான்கு இந்தியப் பெருங்கடல் ஆசிரியர் அ.,9
இந்தியப்_பெருங்கடல்,"அரசு விருது பெற்றவர் அல்லிப் பதிப்பகம் நூற்றி தொன்னூற்று நான்கு, கொத்தவால்சாவடிச் சந்து.",10
இந்தியப்_பெருங்கடல்,இந்தியப் பெருங்கடல் பற்றி முதன் முதலில் முறையாக எழுதப்பட்ட நூல் இதுவே.,9
இந்தியப்_பெருங்கடல்,"பள்ளி நூலகங்களுக்கும், பொது நூலகங்களுக்கும் தலைவாய் நூலாக இது பெரிதும் பயன்படும்.",9
இந்தியப்_பெருங்கடல்,செய்தித் தாள்களின் ஒருமித்த பாராட்டைப் பெற்ற நூல் இது.,7
இந்தியப்_பெருங்கடல்,பதிப்பகத்தார் பொருளடக்கம் இயல் பக்கம் ஒன்று.,5
இந்தியப்_பெருங்கடல்,அமைப்பு ஒன்று இரண்டு.,3
இந்தியப்_பெருங்கடல்,வரலாறு ஒன்பது மூன்று.,3
இந்தியப்_பெருங்கடல்,கடல் ஆராய்ச்சித் திட்டம் பனிரண்டு  நான்கு.,5
இந்தியப்_பெருங்கடல்,பயன்கள் இருபத்தைந்து ஆறு.,3
இந்தியப்_பெருங்கடல்,கடல் ஆராய்ச்சியின் நிலை முப்பத்தொன்று ஏழு.,5
இந்தியப்_பெருங்கடல்,புதிய கண்டுபிடிப்புகள் முப்பத்தேழு எட்டு.,4
இந்தியப்_பெருங்கடல்,அமைப்பு கடல்கள் ஐம்பெருங் கடல்களால் சூழப்பட்டதே நாம் வாழும் உலகம்.,8
இந்தியப்_பெருங்கடல்,"அவை முறையே பசிபிக் கடல், இந்தியக் கடல், அட்லாண்டிக் கடல், ஆர்க்டிக் கடல், அண்டார்க்டிக் கடல் ஆகும்.",13
இந்தியப்_பெருங்கடல்,இருப்பிடம் உலகில் மூன்றாவது பெரிய கடல் இந்தியக் கடல்.,7
இந்தியப்_பெருங்கடல்,"அதற்கு மேற்கே ஆப்பிரிக்காவும், வடக்கே அரேபியா, இந்தியா, மலேயா ஆகிய தீபகற்பங்களும் கிழக்கே ஆஸ்திரேலியாவும் உள்ளன.",12
இந்தியப்_பெருங்கடல்,அதன் தென்பகுதி அண்டார்க்டிக் கடலோடு கலக்கிறது.,5
இந்தியப்_பெருங்கடல்,"பசிபிக், அட்லாண்டிக் கடல்கள் போலவே, ஆர்க்டிக் கடலோடு அது தொடர்பு கொள்ளவில்லை.",9
இந்தியப்_பெருங்கடல்,"இந்தியக் கடல் ஆசியா, ஆப்பிரிக்கா, ஆஸ்திரேலியா ஆகிய மூன்று கண்டங்களுக்கிடையில் உள்ளது.",9
இந்தியப்_பெருங்கடல்,அதன் வடபகுதி இந்தியாவால் பிரிக்கப்பட்டுள்ளது.,4
இந்தியப்_பெருங்கடல்,அது தோற்றத்தில் நெருக்கமாய் அமைந்த கடல்.,5
இந்தியப்_பெருங்கடல்,இங்தோனேஷியாவிலிருந்து ஆப்பிரிக்காவரை பரவியுள்ளது.,3
இந்தியப்_பெருங்கடல்,அது பருவக் காற்றுகளுக்குப் பிறப்பிடம்.,4
இந்தியப்_பெருங்கடல்,"பசிபிக், அட்லாண்டிக் கடல்கள் போன்று அவ்வளவு பெரியதோ ஆழமானதோ அல்ல அது.",9
இந்தியப்_பெருங்கடல்,அது இருபது கோடி ஆண்டுகளுக்கு முன் தோன்றியது.,6
இந்தியப்_பெருங்கடல்,துணைக் கடல்கள் அதற்குக் கிழக்கிலும் மேற்கிலும் அரபிக் கடலும் வங்காள விரிகுடாவும் உள்ளன.,10
இந்தியப்_பெருங்கடல்,செங் கடலும் பாரசீக நீரோட்டமும் அதன் உள்நாட்டுக் கடல்கள்.,7
இந்தியப்_பெருங்கடல்,உலகிலுள்ள பெரும் சிறு கடல்கள் அதில் கலக்கின்றன.,6
இந்தியப்_பெருங்கடல்,இமயமலையில் உருகும் பனி எல்லாம் அதில் கலக்கின்றது.,6
இந்தியப்_பெருங்கடல்,"சிந்து, பிரம புத்திரா, கங்கை, ஐராவதி, காவிரி முதலிய பேராறுகளும் அதில் கலக்கின்றன.",10
இந்தியப்_பெருங்கடல்,அதற்குப் பெரிய வடிநிலம் உண்டு.,4
இந்தியப்_பெருங்கடல்,"தீவுகள் மடகாஸ்கர், இலங்கை முதலியவை அதன் பெரும் கண்டத் தீவுகள்.",8
இந்தியப்_பெருங்கடல்,"இலட்சத் தீவுகள், மாலத் தீவுகள் அதன் முதன்மையான கடல் தீவுகள்.",8
இந்தியப்_பெருங்கடல்,"பொதுவாக, அதன் தீவுகள் பசிபிக் கடலின் தீவுகள் போலவே, எரி மலையாலும் பவழத்தாலும் ஆனவை.",11
இந்தியப்_பெருங்கடல்,"மலைகள் இந்தியக் கடலில் குண்டுங்குழிகளும், உயர்ந்த மலைத் தொடர்களும், ஆழமான அகழிகளும் காணப்படுகின்றன.",10
இந்தியப்_பெருங்கடல்,"சிறப்பாக, அதில் காணப்படும் பவழ மலைத் தொடர்கள் சிக்கலான அமைப்புடையவை.",8
இந்தியப்_பெருங்கடல்,"அதன் தென்கிழக்கு, தென்மேற்குப் பகுதிகளைத் தவிர, எஞ்சியவை நிலத் தொகுதியால் சூழப் பட்டவை.",10
இந்தியப்_பெருங்கடல்,அதன் தென் கோடியில் பனிக்கட்டிகளும் பனிப்பாறைகளும் காணப்படுகின்றன.,6
இந்தியப்_பெருங்கடல்,அதன் மேற்பரப்பு கிழக்காகச் சாய்ந்துள்ளது.,4
இந்தியப்_பெருங்கடல்,மற்றக் கடல்கள் மேற்காகச் சாய்ந்துள்ளன.,4
இந்தியப்_பெருங்கடல்,ஒரு கோடியில் மட்டும் திறந்துள்ள ஒரே பெருங்கடல் இதுவே.,7
இந்தியப்_பெருங்கடல்,"அதில் காணப்படும் முக்கிய நீரோட்டங்களாவன நிலநடுக்கோட்டு நீரோட்டம், மொசாம் பிகுயு நீரோட்டம், அகுலாஸ் நீரோட்டம்.",11
இந்தியப்_பெருங்கடல்,வளம் இந்தியக் கடலின் இயற்கை வளம் மதிப்பிடற்கரியது.,6
இந்தியப்_பெருங்கடல்,உலகக் கடல்களிலேயே அதிக அளவுக்குப் பலவகை உயிர்ப் பொருள்கள் உள்ள கடல் இதுவாகும்.,10
இந்தியப்_பெருங்கடல்,அதன் மீன் வளம் நிறைவான பொருள் வளத்தை அளிக்கவல்லது.,7
இந்தியப்_பெருங்கடல்,"தவிர, அதன் கனிவளமும் மதிப்பிடற்கரியதே.",4
இந்தியப்_பெருங்கடல்,அதன் வாணிப வளமும் வரலாற்றுச் சிறப்புடையதே.,5
இந்தியப்_பெருங்கடல்,இவ்வெடிப்பு அட்லாண்டிக் கடலைக் கடந்து ஆப்பிரிக்கா வரை செல்கிறது.,7
இந்தியப்_பெருங்கடல்,இந்தியக் கடலுக்குள்ளும் அது தலைகாட்டுகிறது.,4
இந்தியப்_பெருங்கடல்,இடர்கள் இந்தியக் கடலின் கரைப்பகுதிகளில் பெரும்பான்மை வாழ்வதற்கு ஏற்றதல்ல.,7
இந்தியப்_பெருங்கடல்,"அங்குப்பயங்கர விலங்குகளும், கொடிய நோய்களும் உள்ளன.",5
இந்தியப்_பெருங்கடல்,"அதில் அலைகளின் பெரும்எழுச்சி வீழ்ச்சிகளும், பயங்கர நீரோட்டங்களும் உள்ளன.",7
இந்தியப்_பெருங்கடல்,அங்குத் தொடர்ந்து வலுவான காற்றுகள் அடித்தவண்ணம் உள்ளன.,6
இந்தியப்_பெருங்கடல்,இந்தியக்கடல் புயல்களுக்கும் நிலைக்களமாக உள்ளது.,4
இந்தியப்_பெருங்கடல்,"அதில் தீங்குதரும் கல்மீன், கொட்டும் மீன், சுறா முதலியவை வாழ்கின்றன.",8
இந்தியப்_பெருங்கடல்,இவ்வாறு அது இடர்களும் தீங்குகளும் நிறைந்து காணப்படுகிறது.,6
இந்தியப்_பெருங்கடல்,வெப்பநிலை இந்தியக் கடல் ஆழமான கடல் மட்டுமல்ல வெப்பக் கடலுமாகும்.,8
இந்தியப்_பெருங்கடல்,அவ்வளம் நம் நாட்டின் பொருள் வளத்தை ஓரளவுக்குப் பெருக்கவல்லது.,7
இந்தியப்_பெருங்கடல்,தங்கள் ஆய்வுக்கு வங்காள விரிகுடாவில் மறைவான ஒர் இடத்தைத் தேர்ந்தெடுத்தனர்.,8
இந்தியப்_பெருங்கடல்,ஆய்வின் நோக்கம் இந்தியக் கடலின் நிலக்காந்தக் களத்தை அறிவதே.,7
இந்தியப்_பெருங்கடல்,இதனால் சில இன்றியமையாச் செய்திகள் திரட்டப்பட்டுள்ளன.,5
