work_title,sentence,sentence_length
இறைவர்_திருமகன்,இறைவர் திருமகன் பாவலர் நாரா.,4
இறைவர்_திருமகன்,இயேசுநாதரின் வரலாறு கேட்டால் நெஞ்சம் உருகும்.,5
இறைவர்_திருமகன்,"உலகில் ஏழைஎளியவர்களுக்காகவும், உண்மையான கடவுள் நம்பிக்கையை வளர்ப்பதற்காகவும் அவர் அடைந்த துன்பங்களின் தொகுப்பே அவருடைய வாழ்க்கையாகும்.",12
இறைவர்_திருமகன்,எளிய அழகிய தமிழ் நடையில் திரு நாரா நாச்சியப்பன் இந்நூலை வழங்கியிருக்கிறார்.,9
இறைவர்_திருமகன்,ஆசிரியர்களும் பெற்றோர்களும் தம் பிள்ளைகளுக்கு இந்நூலே வாங்கியளிப்பதன் மூலம் தம் மக்களிடத்தே நல்லியல்புகளை வளர்த்திட முடியும்.,12
இறைவர்_திருமகன்,—தமிழாலயம் பொருளடக்கம் ஒன்று.,3
இறைவர்_திருமகன்,தொழுவத்திலே பிறந்த இளவல் ஐந்து இரண்டு.,5
இறைவர்_திருமகன்,அரசனைத் தேடிய அறிஞர் பனிரண்டு  மூன்று.,5
இறைவர்_திருமகன்,அறிஞர் மெச்சிய அறிஞன் இருபது நான்கு.,5
இறைவர்_திருமகன்,சைத்தான் நடத்திய தேர்வு இருபத்தைந்து ஐந்து.,5
இறைவர்_திருமகன்,அடுத்தவன் என்றால் யார்?,3
இறைவர்_திருமகன்,முப்பத்து மூன்று ஆறு.,3
இறைவர்_திருமகன்,திருந்திய பாவிக்கு விருந்து நாற்பத்து மூன்று ஏழு.,6
இறைவர்_திருமகன்,எளிமையில் கிடைக்கும் உயர்வு ஐம்பத்து மூன்று எட்டு.,6
இறைவர்_திருமகன்,நெஞ்சுவக்கும் பிஞ்சுமக்கள் ஐம்பத்தாறு ஒன்பது.,4
இறைவர்_திருமகன்,பாதகன் வீட்டு விருந்து ஐம்பத்தொன்பது பத்து.,5
இறைவர்_திருமகன்,திருவடியில் நறுமணத்தைலம் அறுபத்து நான்கு பதினொன்று .,5
இறைவர்_திருமகன்,இறைமகன் சென்ற திருவுலா அறுபத்தெட்டு பனிரண்டு .,5
இறைவர்_திருமகன்,குத்தகைக்கு விட்ட தோட்டம் எழுபத்து மூன்று பதிமூன்று .,6
இறைவர்_திருமகன்,உழைத்தவர் பெற்ற உயர்வு எழுபத்தொன்பது பதினான்கு .,5
இறைவர்_திருமகன்,உடலும் குருதியும் உங்களுக்கே எண்பத்தேழு பதினைந்து .,5
இறைவர்_திருமகன்,காலைச் சேவலின் கூவல் தொன்னூற்றிரண்டு பதினாறு .,5
இறைவர்_திருமகன்,கை கழுவிய பாவம் நூற்றி இரண்டு பதினேழு .,6
இறைவர்_திருமகன்,இறைவனின் பிள்ளை இவரே நூற்றி ஒன்பது பதினெட்டு .,6
இறைவர்_திருமகன்,தொழுவத்திலே பிறந்த இளவல் ரோமாபுரியின் பேரரசர் ஒர் ஆணையிட்டிருந்தார்.,7
இறைவர்_திருமகன்,"அந்த ஆணையைக் கேட்டு, பெத்தலெம் நகருக்கு வந்து குவிந்த மக்கள் பலர்.",9
இறைவர்_திருமகன்,சுற்றிச் சூழ்ந்திருந்த பல ஊர்களிலிருந்து மனிதர்கள் வந்த வண்ணம் இருந்தார்கள்.,8
இறைவர்_திருமகன்,ஜோசப் ஒரு தச்சு வேலைக்காரன்.,4
இறைவர்_திருமகன்,ஆனல் அவனும் அரச வம்சத்தின் வழி வந்தவன்.,6
