work_title,sentence,sentence_length
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,பலம் தரும் பத்து நிமிடப் பயிற்சிகள் டாக்டர்.,6
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,﻿ பலம் தரும் பத்து நிமிடப் பயிற்சிகள் பல்கலைப் பேரறிஞர் தேசிய விருது பெற்ற பேராசிரியர் டாக்டர்.,13
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,"எட்டு, போலிஸ் குவார்ட்டர்ஸ் ரோடு, தி.நகர், சென்னை அறுநூறு  பதினேழு .",9
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,முப்பது பூஜ்ஜியம் உரிமை பதிப்பகத்தாருக்கு தயாரிப்பு ஆர்.,6
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,ஆடம் சாக்ரட்டீஸ் வெளியிட்டோர் எஸ்.எஸ்.,5
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,"பப்ளிகேஷன் லில்லி பவனம், எட்டு, போலீஸ் குவார்ட்டர்ஸ் ரோடு, தி.நகர், சென்னை பதினேழு .",11
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,அச்சிட்டோர் ராசி ஆப்செட் சென்னை அறுநூறு  இரண்டு.,6
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,மானிடராகப் பிறந்தவர்கள் அனைவரும் பெயரும் புகழும் பெற்று வாழ வேண்டும் என்று விரும்புகிறார்கள்.,10
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,அதற்காகப் பெரிதும் முயன்று வருகின்றார்கள்.,4
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,ஆனாலும் அதில் வெற்றி பெறுபவர் வெகு சிலரே ஆவார்கள்.,7
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,எப்படியும் வாழ்ந்துவிடலாம் என்று நினைப்பவர் பலர்.,5
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,அவ்வாறு வெற்றி வாழ்க்கை பெற்றவர்களுக்கு அடிப்படையாக அமைந்திருப்பது அவர்களது உடல்தான்.,8
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,அந்த உடலானது பலம் பெற்று இருந்தாலே உண்மையான உடலாக விளங்கும்.,8
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,அந்தப் பலம் பெறுவதற்குப் பயிற்சிகள் மிகமிக அவசியம்.,6
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,இன்றைய நாகரீக வாழ்க்கையில் தினமும் அதற்காக நேரம் ஒதுக்கவோ செலவு செய்யவோ யாரும் விரும்புவதும் இல்லை.,12
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,ஒரு சிலருக்கு வாய்ப்பும் கிடைக்கவில்லை என்று புலம்புபவர்கள் பலர்.,7
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,ஆனால் அந்த வாய்ப்பை நாம்தான் உருவாக்க வேண்டும்.,6
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,ஒதுக்க வேண்டும் என்ற உண்மையினை யாருமே உணர்வதில்லை.,6
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,"அதனால்தான், அனைவருக்கும் ஏற்ற பலம் தரும் பயிற்சிகளை பத்து நிமிடம் செய்தாலே போதும்.",10
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,அதற்காகவே இந்த நூலை வாசகர்களாகிய உங்களுக்கு வடித்துத் தந்துள்ளேன்.,7
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,இதனைப் படித்து பயன் பெறுமாறு கேட்டுக் கொள்கிறேன்.,6
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,இதுவே என் வேண்டுகோள்.,3
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,"இளைஞர்கள் நலத்துடன் பலத்துடன் வாழ்ந்தால் நாடே பலம் பெறும், வளம் பெறும் என்பதுதான் உண்மை.",11
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,லில்லி பவனம் அன்புடன்⁠ சென்னை பதினேழு  டாக்டர்.,6
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,நவராஜ் செல்லையா ஆசிரியரின் பிற நூல்கள் ஒன்று.,6
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,விளையாட்டுக்களின் விதிகள் இரண்டு.,3
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,விளையாட்டுக்களின் கதைகள் மூன்று.,3
